# index, as_id, _pos
51,7775,"array([2.94807464, 5.30069627])"
52,52,"array([3.07385905, 5.75954189])"
53,3358,"array([2.63531129, 5.1871826 ])"
54,3359,"array([2.70509797, 5.17186884])"
55,55,"array([2.70278713, 5.82048014])"
56,3360,"array([3.08034251, 4.94290087])"
57,3361,"array([3.12035268, 5.59893822])"
58,3362,"array([2.97334011, 5.8778597 ])"
59,3363,"array([3.6232809 , 6.01687669])"
60,3364,"array([3.21031928, 5.96293624])"
61,3365,"array([2.97693873, 5.78905059])"
62,3366,"array([3.12589888, 5.61836605])"
63,7776,"array([3.41267463, 5.72481871])"
64,3368,"array([3.37345126, 5.46950908])"
65,10241,"array([3.05629283, 5.90973172])"
66,7778,"array([3.23944033, 5.46217199])"
67,10570,"array([3.73947191, 5.46021846])"
68,68,"array([2.974438  , 5.34619049])"
69,10243,"array([3.77167445, 4.78163652])"
70,70,"array([3.03280146, 5.44371504])"
71,71,"array([3.3258551 , 5.33021161])"
72,72,"array([3.74922423, 5.08221193])"
73,73,"array([3.50264735, 5.57608018])"
74,74,"array([2.85197492, 4.98777432])"
75,7781,"array([2.53355765, 5.14873907])"
76,7782,"array([3.04256885, 5.75962766])"
77,77,"array([3.0675446 , 5.39020018])"
78,8570,"array([3.97436776, 5.6666957 ])"
79,7784,"array([3.04040075, 5.12947987])"
80,80,"array([2.95608107, 5.34356389])"
81,81,"array([3.00877046, 5.51992971])"
82,7785,"array([3.06848859, 5.13407261])"
83,83,"array([2.90573256, 5.74415196])"
84,3378,"array([3.37065048, 5.68392243])"
85,3379,"array([3.23785065, 5.56552295])"
86,3380,"array([2.98981566, 5.34053216])"
87,87,"array([2.79107936, 5.84389243])"
88,88,"array([3.06680991, 5.36202533])"
89,3381,"array([2.65726608, 5.48593338])"
90,90,"array([3.03896422, 5.58529831])"
91,7786,"array([3.18323421, 5.71496726])"
92,7787,"array([3.70700777, 5.29637153])"
93,93,"array([3.13101832, 5.84343609])"
94,3384,"array([2.80053163, 5.54877684])"
95,7788,"array([2.79196053, 5.12468987])"
96,3386,"array([3.14626213, 5.48566095])"
97,97,"array([3.03923804, 5.41385951])"
98,8571,"array([3.77758639, 5.28866715])"
99,99,"array([2.70968837, 5.42558193])"
100,3388,"array([2.54568341, 5.50220083])"
101,3389,"array([4.34147579, 4.88328005])"
102,3390,"array([3.16466686, 6.10706369])"
103,103,"array([2.78950365, 5.59655749])"
104,7790,"array([3.40062691, 5.40744012])"
105,3392,"array([3.21717893, 5.70335465])"
106,3393,"array([2.74885982, 5.78154516])"
107,3394,"array([2.96768343, 5.38051736])"
108,10571,"array([3.01213602, 5.27504499])"
109,109,"array([3.14068666, 5.38967141])"
110,7792,"array([2.87503701, 5.53269849])"
111,111,"array([2.94428072, 5.6938478 ])"
112,8573,"array([3.73524336, 5.92706496])"
113,10245,"array([3.28978644, 5.66183405])"
114,114,"array([3.10309368, 5.73218174])"
115,7795,"array([3.14372322, 5.18355537])"
116,6057,"array([3.37493452, 5.43278303])"
117,10727,"array([3.01513868, 5.163236  ])"
118,3402,"array([3.04362148, 5.57022512])"
119,3403,"array([2.92106026, 5.19609364])"
120,3404,"array([3.16998597, 5.68624241])"
121,3405,"array([3.10198005, 5.75037165])"
122,6059,"array([3.03512539, 5.64354283])"
123,3407,"array([3.15298598, 5.46497932])"
124,10810,"array([3.06415852, 5.9322326 ])"
125,125,"array([3.35042096, 5.43595499])"
126,3409,"array([4.00213968, 5.95204329])"
127,127,"array([3.18798253, 5.31577214])"
128,6061,"array([3.16209923, 5.48943868])"
129,6062,"array([3.05442246, 5.7846595 ])"
130,10729,"array([3.23623425, 5.86286571])"
131,131,"array([3.05398456, 5.62977663])"
132,132,"array([2.97186759, 5.82887434])"
133,6064,"array([3.14750958, 5.7713373 ])"
134,6065,"array([3.20720681, 5.90716597])"
135,6066,"array([3.29218862, 5.42240803])"
136,6067,"array([3.25719056, 5.26279949])"
137,137,"array([3.2255924 , 4.64699248])"
138,6068,"array([3.44008167, 6.14023691])"
139,7799,"array([2.81699778, 5.33768522])"
140,140,"array([3.03790077, 5.51502034])"
141,6070,"array([2.8275501 , 5.68488494])"
142,6071,"array([3.38063182, 5.59854483])"
143,3421,"array([2.63332833, 5.41493042])"
144,144,"array([3.01188457, 5.222687  ])"
145,145,"array([2.86501467, 5.67293858])"
146,146,"array([2.57886174, 5.24149742])"
147,6072,"array([3.3999701 , 5.65015605])"
148,6073,"array([2.95789639, 5.41683909])"
149,3424,"array([2.82096267, 5.4291985 ])"
150,7800,"array([2.94594321, 5.73307688])"
151,3426,"array([3.16198376, 5.03470912])"
152,8578,"array([3.41786457, 5.13291403])"
153,3428,"array([3.2911236 , 5.57063612])"
154,3429,"array([3.24431307, 5.80838501])"
155,6076,"array([3.2798827 , 5.38731008])"
156,3431,"array([2.94176655, 5.36749056])"
157,157,"array([3.07231709, 5.77964575])"
158,6077,"array([3.22540429, 5.34653657])"
159,159,"array([2.76378502, 5.65302849])"
160,160,"array([2.78278573, 5.70334605])"
161,6078,"array([3.04887633, 5.32053901])"
162,6079,"array([3.29485534, 5.37768832])"
163,6080,"array([3.36875196, 5.76094033])"
164,6081,"array([3.09328714, 5.59206372])"
165,6082,"array([2.96489163, 5.49437249])"
166,6083,"array([3.76836884, 5.3939541 ])"
167,10249,"array([3.19482537, 5.81652007])"
168,8580,"array([3.997473  , 5.64736713])"
169,6086,"array([3.08249496, 5.68282021])"
170,8581,"array([3.6588339 , 4.52955934])"
171,6088,"array([3.10705012, 6.08013426])"
172,6089,"array([3.78195126, 5.37501585])"
173,8582,"array([3.90905978, 5.05458113])"
174,174,"array([3.20312679, 5.52632734])"
175,175,"array([2.82108382, 5.76596854])"
176,6091,"array([2.95123732, 5.28522502])"
177,3447,"array([3.17885912, 5.82456622])"
178,3448,"array([3.23088152, 5.53020348])"
179,3449,"array([3.87788161, 5.52412488])"
180,3450,"array([3.18658172, 5.68925136])"
181,3451,"array([2.97968613, 5.13415473])"
182,3452,"array([3.10018184, 5.86312384])"
183,7806,"array([3.035828 , 5.8212434])"
184,3454,"array([2.81263721, 5.31571443])"
185,8583,"array([3.31762645, 4.65932431])"
186,10250,"array([3.10988406, 5.2555712 ])"
187,6095,"array([3.09063641, 5.61487828])"
188,3458,"array([3.38071121, 5.8474463 ])"
189,10251,"array([3.00289502, 5.17414447])"
190,3460,"array([3.17627241, 6.20146574])"
191,7810,"array([3.16914788, 5.85149298])"
192,3462,"array([3.52292454, 5.97845252])"
193,3463,"array([3.24475977, 5.68497994])"
194,194,"array([2.99462188, 5.76822506])"
195,195,"array([2.86127703, 5.51887463])"
196,196,"array([3.20512786, 5.22025464])"
197,3464,"array([3.48398663, 5.77441589])"
198,7811,"array([3.05967728, 5.02702572])"
199,199,"array([3.08289972, 5.83963667])"
200,10252,"array([3.26982311, 5.22253109])"
201,201,"array([3.4186727 , 5.70894866])"
202,10575,"array([3.79744544, 5.57409798])"
203,7814,"array([3.38601239, 5.78960288])"
204,204,"array([2.70627831, 6.01261233])"
205,10576,"array([2.9569737 , 5.36656047])"
206,7816,"array([2.84796465, 5.89993786])"
207,6104,"array([3.0524746 , 5.39597433])"
208,10577,"array([3.07487783, 5.20145994])"
209,209,"array([2.80157936, 5.82070048])"
210,210,"array([2.96204882, 5.90878573])"
211,6106,"array([2.72775202, 5.90344537])"
212,6107,"array([2.5812459, 5.5691264])"
213,6108,"array([2.77118633, 5.89006294])"
214,6109,"array([3.38654821, 5.45158514])"
215,10256,"array([3.45918994, 5.46859046])"
216,7819,"array([3.29251604, 5.17047574])"
217,217,"array([2.90179381, 5.59708916])"
218,3479,"array([2.93829105, 5.62320712])"
219,3480,"array([2.73037589, 5.75498044])"
220,6112,"array([3.09287241, 5.72326078])"
221,6113,"array([3.36414227, 5.62388117])"
222,6114,"array([3.078823  , 6.00190903])"
223,3484,"array([3.39865695, 6.27932868])"
224,224,"array([3.36129158, 4.87082972])"
225,225,"array([2.85036274, 5.71977519])"
226,226,"array([3.089281  , 5.29963741])"
227,6115,"array([2.94089391, 5.26597888])"
228,6116,"array([3.11805443, 5.75540654])"
229,7820,"array([2.89739756, 5.64413688])"
230,3488,"array([3.44195459, 5.55920802])"
231,10257,"array([2.8296709 , 5.62023875])"
232,10258,"array([3.41994076, 5.49601423])"
233,3491,"array([3.26303433, 5.37100451])"
234,234,"array([2.59815237, 5.40928379])"
235,3492,"array([2.81330108, 5.2955477 ])"
236,3493,"array([2.82272203, 5.16265989])"
237,237,"array([3.0418738 , 5.49064831])"
238,7823,"array([3.03669236, 5.74212996])"
239,239,"array([2.78871105, 4.92668711])"
240,10259,"array([2.74520924, 5.55310426])"
241,6122,"array([2.99334773, 5.69396198])"
242,6123,"array([3.26289813, 5.58822319])"
243,7825,"array([3.26505114, 5.73060983])"
244,6125,"array([3.82199064, 5.51535862])"
245,7826,"array([2.52768258, 5.21809179])"
246,6127,"array([3.39436569, 5.83310914])"
247,3502,"array([3.1924136 , 5.70639916])"
248,6128,"array([3.20482014, 5.7243831 ])"
249,6129,"array([2.98046883, 5.55740706])"
250,3505,"array([3.28213885, 5.70883987])"
251,3506,"array([3.14484889, 5.78463297])"
252,6130,"array([3.18584974, 5.54805519])"
253,3508,"array([2.98388798, 5.60762872])"
254,10260,"array([3.08250298, 5.91124031])"
255,3510,"array([3.6581363 , 5.80862349])"
256,8595,"array([3.86928827, 5.02375456])"
257,3512,"array([3.08070668, 5.03094293])"
258,3513,"array([2.88360696, 5.70132646])"
259,7829,"array([2.72309056, 5.58983999])"
260,10261,"array([2.87405815, 4.97154201])"
261,10849,"array([3.06054951, 5.30546438])"
262,6136,"array([3.08462179, 5.73968373])"
263,7832,"array([3.1475237 , 5.50598315])"
264,6138,"array([2.84654527, 5.52939075])"
265,6139,"array([3.01134987, 5.29039734])"
266,266,"array([2.80825982, 5.47085165])"
267,6140,"array([3.11916136, 5.87088615])"
268,268,"array([3.43522739, 5.79075213])"
269,7833,"array([2.88766285, 5.41259065])"
270,270,"array([3.41309584, 5.42519027])"
271,271,"array([2.95639258, 5.00413946])"
272,6142,"array([3.06448619, 5.84022844])"
273,6143,"array([3.28809454, 5.60940993])"
274,6144,"array([2.7026005 , 5.62693237])"
275,10263,"array([2.92143648, 5.72563719])"
276,3527,"array([2.96536698, 5.60396403])"
277,7835,"array([3.28963193, 5.86367772])"
278,278,"array([3.22208534, 5.98348635])"
279,6147,"array([3.32258866, 5.40979206])"
280,7836,"array([2.90954716, 5.76553992])"
281,7837,"array([3.1064293 , 5.31742869])"
282,7838,"array([2.92414467, 5.61380037])"
283,7839,"array([3.2049507 , 5.76073545])"
284,284,"array([2.78450346, 5.24593133])"
285,10264,"array([2.79216054, 5.01697983])"
286,286,"array([3.25276768, 5.37470549])"
287,10265,"array([3.09460928, 5.37061658])"
288,288,"array([3.33982379, 5.15399092])"
289,10266,"array([3.07341169, 5.28690651])"
290,10267,"array([2.89432133, 5.7241274 ])"
291,291,"array([3.019338  , 5.35539217])"
292,292,"array([3.31710868, 5.42589303])"
293,293,"array([3.11667188, 5.48083295])"
294,10268,"array([2.75400983, 5.75839856])"
295,7845,"array([3.18155037, 5.33658234])"
296,10269,"array([3.3227662 , 5.91397731])"
297,297,"array([3.2397571 , 5.48686447])"
298,298,"array([3.13875881, 5.713281  ])"
299,299,"array([2.70916244, 5.88604402])"
300,6159,"array([3.30592232, 5.89231241])"
301,3542,"array([3.00960878, 6.52809683])"
302,302,"array([2.98819818, 5.96166943])"
303,8605,"array([3.12347429, 4.61177809])"
304,6161,"array([2.92108468, 5.80078264])"
305,7848,"array([3.03312228, 5.72634488])"
306,6163,"array([3.45223051, 5.79176112])"
307,6164,"array([2.88724802, 5.37900346])"
308,3548,"array([3.22882919, 6.16124521])"
309,3549,"array([3.1552172 , 5.45263978])"
310,3550,"array([2.84084002, 5.08711168])"
311,6165,"array([3.11976777, 5.18555049])"
312,6166,"array([2.96533141, 5.73604389])"
313,3553,"array([3.52795878, 5.48341854])"
314,3554,"array([3.0815349 , 5.70034427])"
315,3555,"array([2.92451747, 5.81743342])"
316,6167,"array([3.36043737, 5.81136251])"
317,3557,"array([3.19815814, 5.4241934 ])"
318,7849,"array([2.94908263, 5.55035135])"
319,3559,"array([3.46817018, 6.04693454])"
320,7850,"array([3.35482349, 5.46940658])"
321,3561,"array([3.27019955, 5.63525244])"
322,7851,"array([3.22776564, 5.55570178])"
323,3563,"array([3.2545598 , 5.62995392])"
324,3564,"array([3.15547988, 5.53320225])"
325,6171,"array([2.68593847, 5.22084966])"
326,3566,"array([2.85263604, 5.61365254])"
327,3567,"array([3.14756931, 5.74375641])"
328,6172,"array([3.08053832, 5.47158507])"
329,8606,"array([3.89982997, 5.375837  ])"
330,6174,"array([3.01903065, 5.90878995])"
331,3571,"array([2.9179281 , 5.59684971])"
332,7853,"array([3.37752928, 5.81142617])"
333,8607,"array([3.45031751, 5.09882779])"
334,7855,"array([3.79772399, 5.39828552])"
335,3575,"array([3.1372949 , 5.81958282])"
336,3576,"array([2.71492132, 5.70484086])"
337,3577,"array([2.65625931, 5.89011364])"
338,3578,"array([3.08451784, 5.87372093])"
339,6178,"array([3.04865471, 5.59757795])"
340,6179,"array([2.97789215, 5.26682797])"
341,3581,"array([3.4191091 , 5.67887919])"
342,3582,"array([3.04247766, 5.38387102])"
343,6180,"array([3.62842648, 5.4058023 ])"
344,6181,"array([3.08113248, 5.53435862])"
345,7856,"array([3.18595748, 5.24352207])"
346,3586,"array([2.93397088, 5.11806561])"
347,10270,"array([3.73226862, 5.67997909])"
348,3588,"array([3.30679049, 5.75930168])"
349,10271,"array([2.9271002, 5.2591589])"
350,6185,"array([3.30515432, 5.90959081])"
351,3591,"array([3.00870198, 5.32855509])"
352,7859,"array([2.99903103, 5.39008855])"
353,3593,"array([2.97239297, 5.58622179])"
354,3594,"array([2.9565549 , 5.87174967])"
355,6187,"array([3.65814594, 5.39299794])"
356,3596,"array([3.26145129, 6.18821608])"
357,3597,"array([3.62114374, 5.36040195])"
358,6188,"array([3.19964142, 5.66417868])"
359,3599,"array([3.44016854, 5.83053556])"
360,10579,"array([2.68551993, 5.77181192])"
361,8611,"array([3.6019352, 4.5002708])"
362,3602,"array([2.70237136, 5.2509856 ])"
363,3603,"array([2.97762541, 6.21121403])"
364,7862,"array([3.16083837, 5.63808873])"
365,3605,"array([2.63895502, 5.35030094])"
366,6192,"array([2.76982381, 5.93628135])"
367,10920,"array([2.65756182, 5.53571632])"
368,3608,"array([3.67511756, 5.59277368])"
369,6194,"array([3.09752686, 5.55106875])"
370,6195,"array([3.21524535, 5.50437436])"
371,6196,"array([3.24674564, 5.47523624])"
372,6197,"array([3.5164729 , 5.66736309])"
373,6198,"array([3.5742168 , 5.68934944])"
374,374,"array([2.86137751, 5.92481307])"
375,3614,"array([3.10166243, 5.58063114])"
376,376,"array([2.77383938, 5.07570402])"
377,377,"array([2.84336952, 5.47335294])"
378,378,"array([4.15601147, 5.14128174])"
379,3615,"array([3.70310997, 5.50029226])"
380,3616,"array([3.05357391, 5.05101355])"
381,6199,"array([3.35072809, 5.5125737 ])"
382,6200,"array([2.9164065 , 5.56258406])"
383,6201,"array([3.05617275, 5.52952913])"
384,6202,"array([3.10775334, 5.09386234])"
385,6203,"array([3.19951912, 5.62430889])"
386,7864,"array([3.2003077 , 6.10415367])"
387,7865,"array([2.53987402, 5.37965021])"
388,8613,"array([3.68366071, 5.2045289 ])"
389,10581,"array([3.10323804, 5.81772969])"
390,7868,"array([2.92854738, 5.36054547])"
391,8615,"array([4.03479809, 5.19726614])"
392,3628,"array([2.4837419 , 5.54977931])"
393,3629,"array([2.50107404, 5.57833793])"
394,6210,"array([2.59889147, 5.5451449 ])"
395,10275,"array([2.9627149 , 5.25703038])"
396,3632,"array([3.30490805, 6.30453722])"
397,8617,"array([3.69089513, 4.52258055])"
398,6213,"array([3.37249767, 5.79559276])"
399,6214,"array([2.74743894, 5.7273244 ])"
400,400,"array([2.91998849, 5.9365188 ])"
401,8618,"array([3.66903784, 4.4995324 ])"
402,7873,"array([2.68855731, 5.11897765])"
403,6217,"array([2.72972841, 5.73479139])"
404,6218,"array([3.31069095, 5.52596013])"
405,3640,"array([3.36717901, 6.24562699])"
406,10732,"array([2.81996563, 5.56011953])"
407,6220,"array([2.9480298 , 5.21710928])"
408,6221,"array([3.30914048, 5.7885234 ])"
409,7875,"array([3.2267561 , 5.89225897])"
410,6223,"array([3.10035936, 5.26996203])"
411,6224,"array([3.08836284, 5.17925879])"
412,6225,"array([3.26145102, 5.43173826])"
413,6226,"array([3.1050378 , 5.17030961])"
414,6227,"array([3.01879182, 5.54810911])"
415,6228,"array([2.99404346, 5.15170617])"
416,7876,"array([2.92523266, 5.52443566])"
417,7877,"array([3.1009578 , 5.02811079])"
418,7878,"array([2.64329037, 5.3206658 ])"
419,419,"array([2.82278719, 6.68329427])"
420,10583,"array([2.99692472, 6.01545872])"
421,6233,"array([3.22768985, 5.84853243])"
422,6234,"array([3.15299459, 5.30791245])"
423,423,"array([2.82321427, 6.38268335])"
424,6235,"array([3.23691862, 5.6460544 ])"
425,7880,"array([2.41785615, 5.42804164])"
426,7881,"array([3.2527146 , 5.46092487])"
427,7882,"array([2.95866405, 5.81357221])"
428,3661,"array([3.59883759, 6.03464818])"
429,3662,"array([3.54588141, 5.93220633])"
430,3663,"array([2.88248348, 5.73870024])"
431,6239,"array([3.50124744, 5.53590434])"
432,10278,"array([3.47824224, 5.32479242])"
433,6241,"array([2.746987  , 5.01681925])"
434,6242,"array([2.90202138, 5.86436136])"
435,6243,"array([3.12661394, 5.66811093])"
436,3669,"array([2.81208013, 5.793494  ])"
437,3670,"array([2.62074144, 5.64934281])"
438,3671,"array([3.01654082, 5.31672654])"
439,3672,"array([2.68477495, 5.47363782])"
440,7884,"array([3.16226344, 5.50267382])"
441,3674,"array([3.02547881, 5.5982894 ])"
442,6245,"array([3.08428698, 5.54808498])"
443,3676,"array([2.79281944, 5.63772338])"
444,3677,"array([2.58520113, 5.43610452])"
445,10279,"array([2.54615969, 5.70944246])"
446,7886,"array([3.16654224, 5.17958603])"
447,3680,"array([3.1360018 , 5.86472015])"
448,3681,"array([3.75113258, 5.75832829])"
449,6248,"array([3.0968271 , 5.48929531])"
450,450,"array([2.85025542, 6.56163661])"
451,6249,"array([2.95736029, 5.79606803])"
452,6250,"array([3.1862725 , 5.58535742])"
453,6251,"array([3.03934975, 5.66173597])"
454,454,"array([3.02290677, 6.44866444])"
455,10584,"array([3.19093232, 5.37627654])"
456,456,"array([2.87418386, 6.44326544])"
457,7888,"array([2.91358791, 5.70395547])"
458,6254,"array([3.23239386, 5.75018689])"
459,6255,"array([3.2639215 , 5.53638431])"
460,10585,"array([3.21464726, 5.61498368])"
461,10884,"array([2.82910497, 5.46064257])"
462,6258,"array([3.32784239, 5.85331668])"
463,6259,"array([3.13688475, 5.51152348])"
464,6260,"array([3.24197057, 5.15617809])"
465,6261,"array([3.36845634, 5.44905836])"
466,466,"array([2.89555605, 6.53695323])"
467,7891,"array([3.5457439 , 5.65692493])"
468,6263,"array([3.44111688, 5.57877739])"
469,7892,"array([3.53274619, 5.71364287])"
470,7893,"array([3.54585966, 5.76941264])"
471,3700,"array([3.22978507, 5.51572526])"
472,3701,"array([2.90537301, 5.46397957])"
473,6266,"array([3.1118118 , 5.13645557])"
474,3703,"array([3.23374165, 5.54377569])"
475,7894,"array([3.51991823, 5.64868049])"
476,3705,"array([2.97528728, 5.7721409 ])"
477,7895,"array([2.94599635, 5.42963207])"
478,3707,"array([3.25611777, 5.28788971])"
479,3708,"array([2.93691508, 5.79365058])"
480,6269,"array([3.339665 , 5.9950992])"
481,10734,"array([2.38268557, 5.60018482])"
482,8627,"array([3.60197315, 5.32647665])"
483,10588,"array([3.38373659, 5.9680746 ])"
484,10589,"array([2.77891294, 5.41793149])"
485,3714,"array([3.70274388, 5.90507379])"
486,7900,"array([2.86841305, 5.30274463])"
487,10590,"array([3.0331349 , 5.55505722])"
488,488,"array([2.91939834, 6.4585551 ])"
489,489,"array([2.84509268, 6.30360491])"
490,10735,"array([2.98376764, 5.84469829])"
491,3718,"array([3.04087587, 5.19687022])"
492,7903,"array([3.26037981, 5.74994249])"
493,3720,"array([3.14630748, 5.63022012])"
494,10814,"array([3.18574156, 5.89682385])"
495,3722,"array([3.36228153, 5.91672473])"
496,10289,"array([2.82862131, 5.57702854])"
497,10852,"array([3.14341907, 5.4083117 ])"
498,3725,"array([2.43234241, 5.29106823])"
499,8635,"array([3.50199823, 5.32619702])"
500,3727,"array([3.23251626, 5.31493852])"
501,3728,"array([3.19079125, 5.75400612])"
502,7908,"array([3.81524735, 5.70655758])"
503,6283,"array([3.08921664, 5.31706431])"
504,7909,"array([3.34593905, 5.8584159 ])"
505,6285,"array([2.92837502, 5.22723603])"
506,3733,"array([2.95734146, 5.53774961])"
507,3734,"array([3.25275625, 5.61468319])"
508,3735,"array([3.15974529, 5.73653429])"
509,509,"array([2.77365638, 6.38014449])"
510,10853,"array([2.96980121, 5.53264925])"
511,3737,"array([3.33214453, 5.70410328])"
512,6287,"array([2.94006474, 5.89740683])"
513,513,"array([3.27507728, 5.27791714])"
514,3739,"array([2.98611347, 5.65451415])"
515,10292,"array([3.07999507, 5.35532577])"
516,3741,"array([3.61066615, 5.53970672])"
517,517,"array([3.26407296, 5.10170725])"
518,3742,"array([3.02148767, 5.65541313])"
519,3743,"array([2.70264489, 5.72615407])"
520,6289,"array([3.34188907, 5.9081276 ])"
521,10293,"array([2.9124168 , 5.23314705])"
522,3746,"array([2.9220444 , 5.89553915])"
523,523,"array([2.92128714, 5.97440919])"
524,7913,"array([3.13635913, 5.29746686])"
525,3748,"array([3.5924892 , 6.40589022])"
526,3749,"array([3.14629103, 5.80566112])"
527,6292,"array([3.45885783, 5.17606894])"
528,3751,"array([2.98460083, 5.52874749])"
529,10294,"array([3.22325879, 5.25622047])"
530,3753,"array([2.94843103, 5.85756268])"
531,6294,"array([3.02794663, 5.54103194])"
532,6295,"array([3.06840733, 5.57800078])"
533,6296,"array([3.42118145, 5.62602847])"
534,3757,"array([3.49824439, 6.21179211])"
535,3758,"array([3.50007721, 5.49795086])"
536,6297,"array([3.21306762, 5.3493955 ])"
537,7915,"array([2.90290881, 5.43842944])"
538,3761,"array([2.78252969, 6.05613742])"
539,6299,"array([3.10218   , 5.46769298])"
540,3763,"array([3.27583473, 5.42185221])"
541,3764,"array([3.14817193, 5.89595914])"
542,10295,"array([3.3205369 , 5.76717447])"
543,3766,"array([2.89514005, 4.95361789])"
544,544,"array([3.09815723, 4.73047093])"
545,6301,"array([3.0312862 , 5.27045202])"
546,3768,"array([3.11028052, 5.44528879])"
547,6302,"array([2.97804123, 5.4234155 ])"
548,3770,"array([3.21682405, 5.65268366])"
549,549,"array([2.90560063, 5.07381502])"
550,6303,"array([3.22286961, 5.3768811 ])"
551,10595,"array([3.0972721 , 5.94774466])"
552,552,"array([2.97171516, 6.30691315])"
553,6305,"array([3.03018945, 5.24889537])"
554,6306,"array([3.46671006, 5.51802916])"
555,555,"array([2.88742347, 5.80235678])"
556,6307,"array([3.31088131, 5.80492824])"
557,557,"array([3.05664201, 5.46658079])"
558,3776,"array([2.71847966, 5.45343852])"
559,559,"array([3.18767039, 5.01401846])"
560,6308,"array([3.12309059, 5.82730222])"
561,6309,"array([3.41597369, 5.85761497])"
562,6310,"array([2.91433827, 5.36102691])"
563,7918,"array([2.94716925, 5.32928237])"
564,10297,"array([3.13799136, 5.4620949 ])"
565,565,"array([3.10127223, 4.83073883])"
566,6313,"array([2.83257918, 5.71048191])"
567,3783,"array([2.52208965, 5.97160289])"
568,568,"array([3.06660304, 5.74459731])"
569,3784,"array([3.65020297, 6.34865718])"
570,6314,"array([3.1974312 , 5.79912269])"
571,3786,"array([3.41559181, 5.96744609])"
572,6315,"array([3.01175419, 5.62697051])"
573,7920,"array([3.3703017 , 5.88223697])"
574,3789,"array([2.86021106, 5.65406759])"
575,3790,"array([3.32729224, 5.48539194])"
576,3791,"array([3.13567915, 5.35220499])"
577,577,"array([3.03539447, 5.16371539])"
578,6317,"array([3.05170388, 5.44331821])"
579,7921,"array([2.78759302, 5.65602426])"
580,6319,"array([3.19657586, 5.25456967])"
581,6320,"array([3.35552253, 5.31657121])"
582,3796,"array([3.05109086, 5.68084681])"
583,7922,"array([3.24862907, 5.55257341])"
584,6322,"array([2.96477791, 6.09801015])"
585,3799,"array([3.13654047, 5.21261369])"
586,7923,"array([2.93458978, 5.27843378])"
587,3801,"array([3.15476913, 5.72137221])"
588,10903,"array([2.64130626, 5.75478496])"
589,3803,"array([2.88070629, 5.60284223])"
590,3804,"array([2.89511901, 5.03381067])"
591,6325,"array([2.85599258, 5.78245719])"
592,6326,"array([2.96943335, 5.17140616])"
593,3807,"array([3.54416381, 5.49334386])"
594,6327,"array([2.84551309, 5.3907403 ])"
595,10299,"array([4.02098692, 5.44150929])"
596,10300,"array([3.11192246, 5.58833881])"
597,7927,"array([3.58799237, 5.38738151])"
598,3812,"array([2.61373662, 5.47802944])"
599,3813,"array([3.58131229, 6.18175052])"
600,600,"array([2.99001855, 5.59247925])"
601,3814,"array([3.4516779 , 5.80920282])"
602,3815,"array([2.82589578, 5.74446732])"
603,6331,"array([3.1216717 , 5.28372638])"
604,3817,"array([3.24737139, 5.99318913])"
605,6332,"array([3.3166208 , 6.08183186])"
